job_id,n_rows,mean_cpu,mean_mem,mean_io,std_cpu,std_mem,std_io,cpu_p50,cpu_p95,burst_cpu,burst_mem,burst_io,cpu_diff_mean,cpu_diff_maxabs,mem_diff_mean,mem_diff_maxabs,io_diff_mean,io_diff_maxabs,vol_cpu,vol_mem,vol_io,cpu_skew,cpu_kurtosis,machines_used,start_ts,end_ts,duration_s,ae_0,ae_1,ae_2,ae_3,ae_4,ae_5,ae_6,ae_7,ae_8,ae_9,ae_10,ae_11,ae_12,ae_13,ae_14,ae_15,cluster,pca1,pca2
1388540198,34,0.0010613205882352942,0.002419441176470588,5.834235294117646e-06,6.569876791490333e-05,1.0624936393051899e-06,1.986566799913618e-06,0.001051,0.0011575499999999998,0.00036269999999999987,2.9999999999999645e-06,6.676e-06,0.0,0.00029799999999999987,0.0,2.9999999999999645e-06,-1.4451515151515147e-07,5.7220000000000004e-06,0.050963010125642284,0.0003065267174983428,0.2851324497540539,2.067646210485088,5.953435546613939,1,600000000,10500000000,9900000000.0,-0.122558005,0.2669248,0.3887853,0.065783136,0.11903955,0.29367575,0.084566884,0.037357654,0.16743858,-0.17718245,0.027584802,0.31504726,-0.11462057,0.06826513,0.21347046,-0.12084254,0,1.515489448167492,-1.1080078068201427
1388566558,34,0.00040758529411764703,0.006767,8.751058823529411e-06,2.5217432489928127e-05,0.0,3.2419794057223787e-06,0.00040295,0.000445715,9.249999999999997e-05,0.0,1.3355e-05,1.4151515151515151e-06,6.68e-05,0.0,0.0,1.1566666666666662e-07,1.0487999999999999e-05,0.036826675277402666,0.0,0.3675676341334274,0.18784112608529366,-1.0709625046596256,1,600000000,10500000000,9900000000.0,-0.109514944,0.30833057,0.3812358,0.03138258,0.11572358,0.2458038,0.024868082,0.036138214,0.17812385,-0.16339567,0.006259674,0.2852831,-0.12406251,0.058069974,0.19212642,-0.19118758,0,1.5283024598986832,-1.068595683030286
1389045295,34,0.0005035941176470588,0.0004334676470588235,4.263647058823529e-06,2.060359679017336e-05,1.1521915705406431e-05,2.536811742445426e-06,0.000495,0.0005451999999999999,9.440000000000002e-05,6.68e-05,1.2403e-05,-1.72727272727272e-07,5.8200000000000005e-05,-3.030303030303104e-08,4.770000000000002e-05,-2.8909090909090965e-08,1.0495e-05,0.030024240805458447,0.024348631042986298,0.45347533620479935,1.7979983684356844,3.061607458021066,1,600000000,10500000000,9900000000.0,-0.19070336,0.28518143,0.45524773,-0.03480529,0.106527425,0.23637362,0.07329764,0.022641772,0.2005251,-0.097123325,0.08413538,0.24962781,-0.20361647,0.08716839,0.19170046,-0.29822865,0,1.5897202568461912,-1.1056834924810668
1389045297,3434,4.7565960978450775e-05,0.00035264155503785677,3.490212696563774e-06,6.656453795691751e-06,0.00015573945375174243,2.645157277546025e-06,4.673e-05,6.008e-05,4.959e-05,0.0014493,2.2886299999999998e-05,-5.563646956015188e-10,4.673e-05,-3.8687668549220593e-22,0.0014363,-2.776871540926234e-10,2.0029e-05,0.12274280884984307,0.3011176147456258,0.5555599404157437,1.422182873219256,3.741216668099792,101,600000000,10500000000,9900000000.0,0.2362177,-0.010960402,0.1599417,-0.31738305,-0.2861084,0.1309084,0.45135388,-0.08999288,0.39684448,0.6036161,0.6279807,0.142846,-0.4892207,-0.719244,0.3985697,-0.37580654,0,0.7710420841069353,-0.8911496857020116
1393056113,850,0.015396435294117649,0.0012665223529411767,3.769697176470588e-06,0.0012811045321454988,0.00010153942193172253,2.7550912777178063e-06,0.01536,0.01773,0.008970000000000002,0.0009320000000000001,2.67063e-05,-1.9081272084805654e-06,0.004820000000000001,1.413427561837439e-08,0.0007820000000000001,2.3445552721408783e-23,2.4799e-05,0.05849540049824698,0.069344587984792,0.5407730928636421,0.210636455096884,0.7089914561126784,25,600000000,10500000000,9900000000.0,-0.038471926,0.04895106,0.1129576,-0.19898693,0.13011861,-0.027483119,0.13784225,-0.13167161,0.0025322305,-0.028462466,0.106435835,-0.033514347,-0.1396128,-0.121562205,-0.09005921,0.10255183,0,0.6695322363588023,0.1086728045530921
1405507228,102,4.920803921568627e-05,0.00015276274509803917,8.386921568627451e-06,8.999251716084094e-06,3.2963414529202942e-06,4.217624530481942e-06,4.482e-05,6.485e-05,2.8610000000000006e-05,1.530000000000002e-05,1.8115e-05,1.9831683168316843e-07,2.5750000000000002e-05,3.762376237623747e-08,1.34e-05,3.776237623762384e-08,1.7162e-05,0.18913520688018667,0.017992573874824842,0.4719368048565359,0.6564462463628012,-1.2046530581164203,3,600000000,10500000000,9900000000.0,-0.2096996,0.17618705,0.3429073,-0.04876586,-0.02409199,0.20168354,0.11487296,-0.19129807,0.16101353,0.056301896,0.11588594,0.26990888,-0.23492941,-0.0091889305,0.22765027,-0.29661947,0,1.4647945214962135,-0.927703495148036
1409698667,1013,0.024818262586377097,0.014990819348469893,0.00025493909180651533,0.002728104097461532,0.0006854072077352048,8.745342335003888e-05,0.02457,0.029504,0.016290000000000002,0.006119999999999999,0.001578,-9.288537549407114e-07,0.010930000000000002,-7.411067193675895e-07,0.00451,-7.450592885375517e-08,0.0015198,0.09624183600176772,0.04114993827826287,0.22069412843002745,0.28398513432242406,-0.11489185924671963,30,600000000,10500000000,9900000000.0,0.104345776,0.40945834,-0.06629634,-0.35014957,-0.20592017,-0.51186585,0.3436325,-0.07234053,-0.052627467,0.059779055,0.10293113,-0.5084369,0.13919517,-0.017712519,-0.18849505,0.27966392,0,-0.5993156309112402,0.8345715056592061
1412625411,3396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,600000000,10500000000,9900000000.0,0.08142376,0.710295,0.54415905,0.039690718,0.12217119,0.16920596,0.3299634,0.029205387,0.4115519,-0.2992542,0.5028154,0.3138738,0.01526577,-0.00064620934,0.35634872,0.30137303,0,0.8394569705867111,-1.8241884322945117
1435139915,34,0.006011029411764706,0.01568676470588235,1.3014647058823527e-05,0.0009795457976650114,0.00016465151413596653,9.260545790935907e-06,0.0055119999999999995,0.0078636,0.00277,0.0005299999999999975,5.0545e-05,-7.4e-05,0.00264,-3.3333333333333553e-06,0.0004999999999999987,2.890909090909126e-08,4.5777e-05,0.16476334002049361,0.010905117489676855,0.4490372957919342,1.0833974514210736,-0.6710798760103889,1,600000000,10500000000,9900000000.0,-0.23353645,0.12946269,0.28089374,-0.10106468,0.12900577,-0.01607389,0.021611214,-0.31866786,-0.02115278,-0.119456515,-0.13473016,0.21654516,0.026580136,0.0688784,0.15174024,0.049529143,0,1.0767274991794875,-0.39620151002876913
1444478784,34,0.002362764117647059,0.0040193529411764704,3.7304794117647052e-06,0.002983780471895578,7.083046673078771e-06,5.116798230268808e-06,0.000309,0.0070500499999999995,0.00735904,3.0000000000000512e-05,2.289e-05,-0.00020472727272727274,0.00735522,6.969696969697107e-07,1.5000000000000256e-05,5.787878787878789e-08,2.00263e-05,1.3902525661856726,0.0004893041303941475,0.8187816324928039,0.7527039628155897,-1.2622048093137217,1,600000000,10500000000,9900000000.0,0.21487653,0.6420256,-0.2513785,-0.34537935,-1.6565052,-0.7451333,0.40566823,-3.1181722,-0.0833499,0.28813773,0.4569536,-0.35789785,-0.50609183,-0.371658,0.88861567,0.7508652,0,-1.2998579411725106,0.8722202694013033
