Rank,Model,Silhouette,TemporalConsistency,Clusters,Samples,FeatureCount,FeatureWeight,Norm_Sil,Norm_TC,BaseScore,FinalScore
1,No-Weighted,0.4061,0.6906,8,3111,10,1.0,0.45211675623862096,0.9999999855198487,0.7260583708792349,0.7261
2,Random-Weight,0.3399,0.6904,8,3111,10,1.0,0.1899666144916222,0.9996697694790995,0.5948181919853608,0.5948
3,No-CPI,0.3504,0.6845,8,3111,9,0.9,0.23150745447108997,0.9911771065952305,0.6113422805331602,0.5502
4,LSTM-AE,0.5445,0.0,8,3111,10,1.0,0.9999999604219575,0.0,0.49999998021097875,0.5
5,Ours (Full),0.2919,0.69,8,3111,10,1.0,0.0,0.999132758447855,0.4995663792239275,0.4996
6,MLP-AE,0.5005,0.0,8,3111,10,1.0,0.8259352481223989,0.0,0.41296762406119947,0.413
7,No-Static,0.3418,0.6898,8,3111,6,0.6,0.19757273362240851,0.9988759908782708,0.5982243622503397,0.3589
