Rank,Model,Silhouette,TemporalConsistency,Clusters,Samples,FeatureCount,FeatureWeight,Norm_Sil,Norm_TC,BaseScore,FinalScore
1,Ours (Full),0.702,0.6886,8,97184,10,1.0,0.999999964106409,0.9949602217655737,0.9974800929359914,0.9975
2,No-Weighted,0.5713,0.6921,8,97184,10,1.0,0.5305598994527715,0.999999985551894,0.7652799425023327,0.7653
3,No-CPI,0.5627,0.6852,8,97184,9,0.9,0.499715599019509,0.9899626555161677,0.7448391272678383,0.6704
4,Random-Weight,0.4234,0.6906,8,97184,10,1.0,0.0,0.9977585212849458,0.4988792606424729,0.4989
5,No-Static,0.4746,0.6888,8,97184,6,0.6,0.1834865862270161,0.995212029108303,0.5893493076676596,0.3536
6,LSTM-AE,0.5759,0.0,8,97184,10,1.0,0.5472934100643897,0.0,0.27364670503219485,0.2736
7,MLP-AE,0.5583,0.0,8,97184,10,1.0,0.4841564186482177,0.0,0.24207820932410884,0.2421
