Rank,Model,Silhouette,TemporalConsistency,Clusters,Samples,FeatureCount,FeatureWeight,Norm_Sil,Norm_TC,BaseScore,FinalScore
1,Ours (Full),0.694,0.6847,8,89189,10,1.0,0.9999999189327173,0.9942771442597763,0.9971385315962469,0.9971
2,No-Weighted,0.6642,0.6848,8,89189,10,1.0,0.7583595175977997,0.9944206523928206,0.8763900849953101,0.8764
3,No-CPI,0.5991,0.6795,8,89189,9,0.9,0.23074378837811277,0.9867257428367879,0.6087347656074503,0.5479
4,Random-Weight,0.5709,0.6853,8,89189,10,1.0,0.0018603148367566165,0.9951518687426143,0.49850609178968547,0.4985
5,No-Static,0.5706,0.6886,8,89189,6,0.6,0.0,0.9999999854784863,0.49999999273924317,0.3
6,MLP-AE,0.6436,0.0,8,89189,10,1.0,0.5916448667088964,0.0,0.2958224333544482,0.2958
7,LSTM-AE,0.6136,0.0,8,89189,10,1.0,0.3483050556906352,0.0,0.1741525278453176,0.1742
