Rank,Model,Silhouette,TemporalConsistency,Clusters,Samples,FeatureCount,FeatureWeight,Norm_Sil,Norm_TC,BaseScore,FinalScore
1,Random-Weight,0.6827,0.6802,8,51933,10,1.0,0.9999999817160048,0.9827226063719781,0.9913612940439914,0.9914
2,Ours (Full),0.6577,0.6839,8,51933,10,1.0,0.9543249113524089,0.9879855067656607,0.9711552090590347,0.9712
3,No-Weighted,0.5033,0.6842,8,51933,10,1.0,0.6720670132715408,0.9885228361687266,0.8302949247201337,0.8303
4,No-CPI,0.5634,0.676,8,51933,9,0.9,0.7818432430846415,0.976620128786005,0.8792316859353233,0.7913
5,LSTM-AE,0.5901,0.0,8,51933,10,1.0,0.8306817079447755,0.0,0.41534085397238774,0.4153
6,MLP-AE,0.5853,0.0,8,51933,10,1.0,0.8218401799842683,0.0,0.41092008999213414,0.4109
7,No-Static,0.1358,0.6922,8,51933,6,0.6,0.0,0.9999999855530585,0.49999999277652923,0.3
