Rank,Model,Silhouette,TemporalConsistency,Clusters,Samples,FeatureCount,FeatureWeight,Norm_Sil,Norm_TC,BaseScore,FinalScore
1,Random-Weight,0.8572,0.6978,8,186612,10,1.0,0.8216150593522404,0.9999999856694699,0.9108075225108552,0.9108
2,Ours (Full),0.8492,0.6928,8,186612,10,1.0,0.7952875557468401,0.9928346420949815,0.8940610989209108,0.8941
3,No-CPI,0.9112,0.6867,8,186612,9,0.9,0.999999966937962,0.9841323119519025,0.9920661394449323,0.8929
4,No-Weighted,0.7974,0.6942,8,186612,10,1.0,0.6240257633673402,0.9948406512960122,0.8094332073316761,0.8094
5,No-Static,0.7544,0.6858,8,186612,6,0.6,0.4816182433414886,0.9827700877774066,0.7321941655594476,0.4393
6,LSTM-AE,0.6616,0.0,8,186612,10,1.0,0.17496957228889684,0.0,0.08748478614444842,0.0875
7,MLP-AE,0.6087,0.0,8,186612,10,1.0,0.0,0.0,0.0,0.0
